xp_id;country;latitude;longitude;elevation;tarping_date;planned_duration;goals;restoration;operation_type;multiple_ops;freq_monitoring;slope;difficulty_access;shade;forest;ruggedness;granulometry;obstacles;flood;environment;fabric_type;liner_geomem;agri_geomem;woven_geotex;mulching_geotex;pla_geotex;weedsp_geotex;other_unknown;grammage;thickness;resi_punc;resi_trac;season;maxveg;preparation;levelling;stand_surface;age;fully_tarped;distance;multi_strips;strips_overlap;strips_fixation;staples_distance;fabric_fixation;tarpfix_multimethod;sedicover_height;trench;trench_depth;pierced_tarpinstall;plantation;repairs;add_control;add_control_type;degradation;pb_fixation;pb_durability;pb_trampiercing;pb_vandalism;regrowth_during;reg_staples;reg_stripoverlaps;reg_obstacles;reg_holes;reg_plantations;reg_pierced;reg_edges;reg_nearby;untarped_regrowth;tarping_abandoned;tarping_completed;tarping_ongoing;tarping_duration;latest_condition;latest_regrowth;latest_months;eff_expansion;eff_dispersal;eff_vigour;eff_eradication
2;france;46.786;4.833;178;2017;10;eradicate_and_limit_expansion_vigour;0;research_trial;0;3;1;3;5;4;2;2;0;0;wasteland_railway;weed_geotex;0;0;0;0;0;1;0;240;0.64;550;18;summer;1;excavation;1;6;2;1;1;0;NA;NA;NA;trench_and_sedicover;1;10;1;40;0;0;0;0;none;1;0;0;1;0;1;0;0;0;0;0;1;0;0;NA;0;0;1;4;good;tarpedarea;01/09/2020;5;8;6;0
3;france;46.788;4.831;180;2018;10;vigour;0;research_trial;1;3;0;0;1;1;2;2;1;0;wasteland_railway;weed_geotex;0;0;0;0;0;1;0;245;0.65;555;18.5;spring;0;excavation;1;32.5;3;0;0;1;25;tape;NA;trench_and_sedicover;1;10;1;10;0;0;0;0;none;1;0;0;1;0;1;0;1;0;0;0;1;1;0;NA;0;0;1;3;good;tarpedarea_edges;01/09/2020;NA;NA;NA;NA
4;france;47.172;4.153;488;2012;NA;eradicate;1;management_trial;1;4;10;0;5;5;7;10;2;10;roadside_riverside;woven_geotex;0;0;1;0;0;0;1;NA;NA;NA;NA;spring;0;mowing;0;10;2;1;1;1;NA;staples;100;staples_and_plantations;1;0;1;10;0;2;0;1;uprooting;0;0;0;0;0;1;1;0;0;0;0;0;1;0;NA;0;0;1;9;good;NA;01/08/2020;6;9;9;0
5;france;50.643;2.639;18;2015;99;eradicate;1;management_trial;0;3;8;1;2;2;2;5;0;8;roadside_riverside;unknown_geomem;NA;NA;0;0;0;0;1;NA;NA;NA;NA;NA;0;mowing;0;60;2;1;5;1;5;tape_and_staples;100;staples_and_plantations;1;0;0;0;0;2;1;1;uprooting_and_mowing;0;0;0;0;0;1;1;0;0;0;1;0;0;0;NA;0;0;1;5;NA;NA;NA;NA;NA;NA;0
6;france;45.174;5.071;295;2008;99;eradicate_and_limit_expansion;0;management_trial;0;3;1;2;8;3;3;10;0;3;riverside;agri_geomem;0;1;0;0;0;0;0;NA;NA;NA;NA;summer;1;uprooting;1;15;2;1;1;1;15;refold;NA;trench_and_sedicover;1;55;1;50;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;1;12;NA;none;01/08/2020;10;10;10;1
7;france;48.079;6.883;655;2017;3;limit_expansion_and_limit_dispersal_and_vigour;0;management_trial;1;2;4;1;4;5;1;7;1;0;roadside;agri_geomem;0;1;0;0;0;0;0;NA;NA;NA;NA;NA;0;none;0;8;1;1;0.5;1;40;staples;25;sedicover_and_staples;1;10;0;0;3;0;1;1;mowing;1;0;0;1;0;1;1;1;0;1;0;0;0;0;tarpedarea_and_edges;0;1;0;1;bad;tarpedarea_edges_nearby;01/05/2020;5;8;2;0
8;france;48.200;3.283;72;2018;3;eradicate;0;management_trial;0;3;0;0;0;0;0;3;0;0;roadside;construction_geomem;0;0;0;0;0;0;1;NA;0.16;NA;19;winter;0;mowing;1;3;1;0;2;1;150;overlap;NA;trench_and_sedicover;0;0;1;10;0;0;1;1;uprooting;1;0;0;0;1;1;0;0;0;0;0;0;1;0;NA;0;0;1;3;good;edges;01/10/2020;9;NA;10;0
9;france;42.454;2.637;271;2015;3;eradicate_and_limit_dispersal;0;management_trial;0;1;6;3;5;9;6;6;6;0;roadside;agri_geomem;0;1;0;0;0;0;0;NA;NA;NA;NA;winter;0;uprooting;1;10;3;1;1;1;50;heavyobj_and_staples;60;heavyobj_and_trench;1;0;1;10;2;0;0;1;uprooting;0;0;0;0;0;1;0;0;0;0;0;0;1;0;none;0;1;0;3;good;none;01/07/2020;8;10;10;1
10;france;45.683;2.840;908;2015;12;eradicate;0;management_trial;0;10;9;0;2;4;7;10;2;0;parking_lot;agri_geomem;0;1;0;0;0;0;0;290;NA;NA;NA;autumn;0;none;0;100;3;1;0.75;1;35;staples;6;heavyobj_and_trench;1;0;1;50;0;0;0;1;mowing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;1;5;good;edges;01/06/2020;8;8;8;0
11;france;48.457;-5.097;14;2016;5;eradicate_and_limit_expansion_and_limit_dispersal;0;management_trial;0;3;0;0;0;0;5;7;3;5;roadside;agri_geomem;0;1;0;0;0;0;0;NA;0.115;3;20;spring;0;none;1;300;2;1;1;1;10;staples;100;staples_and_trench_and_sedicover;1;3;1;15;3;0;1;1;uprooting;1;1;0;0;0;1;0;0;0;0;0;0;1;0;NA;0;0;1;5;good;edges;01/09/2020;5;6;8;0
12;france;50.623;2.988;23;2015;5;eradicate;1;research_trial;0;3;0;1;1;3;3;6;1;0;urban_park;pla_geotex;0;0;1;0;1;1;0;130;NA;NA;7.5;autumn;0;mowing;1;9;2;1;2;1;50;heavyobj_and_staples;80;trench_and_sedicover;1;0;1;50;0;0;NA;NA;NA;1;0;0;1;0;0;0;0;0;0;0;0;0;0;NA;0;1;0;5;bad;nearby;01/04/2019;9;8;10;1
13;france;45.447;4.583;457;2014;3;eradicate_and_limit_expansion_and_limit_dispersal;0;management_trial;0;3;9;8;7;1;5;5;1;2;riverside;agri_geomem;0;1;0;0;0;0;0;NA;0.15;2.2;18;summer;1;mowing;0;305;3;1;NA;1;30;tape_and_staples;3;staples_and_heavyobj_and_trench;1;0;1;25;1;0;1;0;NA;1;1;0;0;0;0;0;0;0;0;0;0;0;0;none;0;1;0;3;bad;none;01/09/2020;8;9;10;1
14;france;44.683;2.846;994;2013;10;eradicate_and_limit_expansion_and_limit_dispersal;0;management_trial;0;1;5;5;5;4;6;8;0;0;roadside;liner_geomem;1;0;0;0;0;0;0;NA;0.8;NA;15;autumn;0;uprooting;1;300;2;0;1;1;20;glu;NA;heavyobj_and_trench_and_sedicover;1;15;1;15;0;0;1;1;uprooting;0;0;0;0;0;1;0;1;0;0;0;0;1;0;NA;0;1;0;4;good;edges;01/07/2020;7;9;8;0
15;france;48.186;2.326;113;2016;99;eradicate;0;management_trial;0;2;0;0;2;2;0;0;0;7;wetland;agri_geomem;0;1;0;0;0;0;0;NA;NA;NA;NA;autumn;0;excavation;0;300;1;1;2;1;NA;NA;NA;sedicover;0;25;0;0;0;0;0;1;uprooting_and_mowing;1;0;0;1;0;1;0;0;0;1;0;0;0;0;NA;0;0;1;4;bad;tarpedarea;01/06/2020;10;10;10;0
16;france;47.509;1.458;84;2005;3;eradicate;1;management_trial;0;2;9;9;2;0;6;4;3;10;riverside;mulching_geotex;0;0;1;1;0;0;0;1400;10;NA;NA;summer;1;uprooting;0;50;2;1;0.5;1;20;staples;50;wire_and_staples_and_sedicover;1;0;1;20;0;1;1;0;uprooting;1;0;1;0;0;1;1;1;1;0;0;0;0;0;NA;0;1;0;2;destroyed;NA;01/07/2020;1;4;5;0
17;france;48.485;-2.677;11;2015;99;eradicate;1;management_trial;0;5;7;2;4;4;6;6;5;2;roadside_riverside;unknown_geotex;0;0;1;NA;NA;NA;1;NA;NA;NA;NA;summer;1;excavation;0;35;2;1;0.5;0;NA;NA;150;staples_and_plantations;1;0;0;0;1;2;0;1;uprooting;0;0;0;0;0;1;0;1;1;0;0;0;1;0;NA;0;0;1;5;good;edges;01/06/2020;5;5;8;0
18;france;49.508;0.200;5;2014;1;eradicate;0;management_trial;0;3;7;8;4;4;5;5;3;7;riverside;weed_geotex;0;0;0;0;0;1;0;275;0.8;2550;14;summer;1;uprooting;0;225;2;1;0;1;15;staples;50;staples_and_trench;1;0;1;100;1;0;0;1;uprooting;0;0;0;0;0;1;1;1;0;0;0;0;1;0;edges;0;1;0;2;good;tarpedarea_edges;01/08/2020;4;NA;10;0
20;france;46.193;6.234;435;2020;5;limit_expansion_and_limit_dispersal;0;management_trial;0;3;10;0;5;2;0;6;2;0;roadside_railway;unknown_geotex;0;0;NA;0;0;0;1;NA;NA;NA;NA;winter;0;mowing;1;245;2;1;2;1;NA;heavyobj;NA;heavyobj_and_trench;1;0;1;20;0;0;1;NA;NA;1;0;1;0;0;1;0;0;0;0;0;0;1;0;NA;0;0;1;1;NA;NA;NA;NA;NA;NA;NA
21;france;47.251;0.296;39;2018;2;eradicate_and_limit_dispersal;0;management_trial;0;3;7;0;6;6;4;4;0;4;riverside;mulching_geotex;0;0;1;1;0;0;0;550;5;NA;NA;winter;0;excavation;0;100;2;0;1;1;NA;overlap;55;staples_and_wire;0;0;0;0;0;0;1;1;uprooting;1;1;0;0;0;1;0;0;0;1;0;1;1;1;NA;0;0;1;3;NA;NA;NA;NA;NA;NA;0
22;france;48.410;-1.752;56;2009;3;limit_expansion;0;management_trial;1;0;3;1;5;2;7;6;7;0;roadside_wasteland;agri_geomem;0;1;0;0;0;0;0;NA;NA;NA;NA;autumn;0;uprooting;0;50;2;1;0;1;30;NA;NA;heavyobj;0;0;0;0;1;0;0;0;none;0;0;0;0;0;1;0;1;0;1;1;0;1;1;NA;0;1;0;8;good;edges;01/10/2020;0;0;4;0
23;france;48.035;1.272;103;2014;3;limit_expansion_and_limit_dispersal;1;management_trial;0;5;2;2;2;3;2;5;2;2;wetland;liner_geomem;1;0;0;0;0;0;0;NA;0.8;NA;15;winter;0;uprooting;1;50;2;1;0.5;1;100;tape_and_staples;50;trench_and_sedicover;1;NA;1;50;0;1;0;1;uprooting;0;0;0;0;0;1;0;0;0;0;0;0;1;0;NA;0;1;0;3;NA;NA;NA;NA;NA;NA;NA
24;france;48.070;1.328;143;2015;NA;limit_expansion_and_limit_dispersal;1;management_trial;0;3;7;1;1;1;8;5;7;8;riverside;liner_geomem;1;0;0;0;0;0;0;NA;0.8;NA;15;winter;0;uprooting;1;30;2;1;0.3;0;NA;NA;NA;heavyobj_and_trench_and_sedicover;1;50;1;50;0;1;1;1;uprooting;1;0;1;1;0;1;0;0;0;0;0;0;1;0;tarpedarea_edges;0;1;0;2;bad;tarpedarea_edges;01/06/2018;NA;NA;NA;0
25;france;49.287;3.813;85;2012;5;eradicate;1;management_trial;0;3;2;0;7;9;3;3;0;10;riverside;unknown_geotex;0;0;1;0;0;0;1;NA;NA;NA;NA;spring;0;mowing;0;40;2;1;1;1;50;staples;100;trench_and_plantations;1;0;1;55;0;2;0;1;uprooting_and_mowing;1;0;0;1;0;1;0;0;0;0;0;0;1;0;tarpedarea_edges_nearby;0;1;0;5;good;none;01/07/2018;10;10;10;1
26;france;45.587;2.739;856;2006;2;limit_expansion;0;management_trial;1;0;4;0;3;6;3;NA;NA;3;roadside;unknown_geotex;0;0;1;0;0;0;1;NA;NA;NA;NA;NA;0;uprooting;0;360;3;1;NA;1;NA;NA;NA;trench;0;0;1;30;NA;0;0;0;none;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;none;0;1;0;NA;NA;none;NA;NA;NA;NA;1
27;france;45.628;5.424;288;2020;2;eradicate_and_limit_expansion_and_limit_dispersal_and_vigour;0;management_trial;0;1;7;1;5;2;5;5;0;0;wetland;agri_geomem;0;1;0;0;0;0;0;250;NA;NA;NA;autumn;0;uprooting;0;10;1;1;2;0;NA;NA;100;staples_and_trench;1;0;1;20;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;1;0.5;NA;NA;NA;NA;NA;NA;NA
28;france;48.802;-3.030;56;2020;NA;limit_expansion_and_limit_dispersal;0;management_trial;0;7;8;2;2;4;5;6;0;3;roadside_urban_park;woven_geotex;0;0;1;1;0;0;1;130;NA;NA;NA;winter;0;excavation;1;500;3;1;2;1;100;staples;200;staples_and_trench;1;0;1;30;1;0;0;1;uprooting;0;0;0;0;0;1;1;0;0;0;0;0;0;0;NA;0;0;1;1;NA;NA;NA;NA;NA;NA;NA
29;france;45.568;5.378;317;2017;4;limit_expansion_and_limit_dispersal_and_vigour;0;management_trial;0;3;8;1;3;7;7;6;6;5;wasteland_wetland;weed_geotex;0;0;0;0;0;1;0;240;0.64;550;18;spring;0;mowing;0;450;2;0;1;1;50;glu_and_staples;30;heavyobj_and_trench;1;0;1;50;NA;0;0;1;uprooting_and_mowing_and_crushingshoots;0;0;0;0;0;1;0;0;1;0;1;0;1;0;NA;0;0;1;3;good;edges;01/10/2020;NA;NA;8;0
30;france;48.273;0.459;83;2015;5;eradicate_and_limit_expansion;0;management_trial;1;3;2;2;8;1;5;5;2;0;roadside;mixed;0;1;0;0;0;0;1;250;NA;NA;NA;autumn;0;mowing;0;20;2;1;2;0;NA;NA;NA;trench;0;0;1;15;0;0;0;1;crushingshoots_and_uprooting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;none;0;1;0;5;bad;none;01/09/2020;10;10;10;1
31;france;45.703;5.449;216;2018;3;eradicate;0;management_trial;1;1;1;0;2;0;3;7;0;0;grassland;woven_geotex;0;0;1;NA;0;0;1;NA;NA;NA;NA;NA;0;none;0;75;3;1;2;1;60;staples;100;staples;0;0;0;0;3;0;1;1;crushingshoots;0;0;0;0;0;1;1;0;1;0;0;0;1;0;NA;0;0;1;2;good;edges;01/10/2020;8;8;8;0
32;france;45.804;4.892;172;2019;5;limit_expansion_and_vigour;0;management_trial;0;1;2;3;4;1;7;8;4;1;railway;weed_geotex;0;0;0;0;0;1;0;240;0.64;550;18;winter;0;mowing;1;5000;2;1;2;1;30;glu;NA;heavyobj_and_staples;1;0;0;0;1;0;1;1;mowing;NA;NA;NA;NA;NA;1;1;1;1;1;0;0;0;1;NA;0;0;1;2;bad;edges;01/09/2020;6;7;8;0
33;france;46.674;4.363;284;2009;99;eradicate_and_limit_expansion;1;management_trial;0;2;2;5;5;5;5;5;6;8;riverside;woven_geotex;0;0;1;NA;0;0;1;140;NA;NA;NA;autumn;0;excavation;1;2000;3;1;1;1;100;staples;80;trench_and_plantations;1;0;1;40;1;2;0;1;crushingshoots_and_uprooting;0;0;0;0;0;1;1;0;0;0;1;0;0;0;NA;0;0;1;11;NA;tarpedarea;01/06/2019;9;9;9;0
34;france;46.112;4.228;358;2018;NA;eradicate_and_limit_expansion_and_limit_dispersal;0;management_trial;0;3;5;5;5;5;6;8;5;5;riverside;agri_geomem;0;1;0;0;0;0;0;500;4;NA;NA;summer;1;none;0;140;3;1;1.5;1;NA;NA;NA;trench;0;0;1;25;0;0;1;1;mowing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;1;3;good;edges;01/07/2020;8;5;8;0
35;france;44.817;6.195;1090;2013;5;eradicate_and_limit_expansion;1;management_trial;0;5;2;0;5;3;2;2;0;1;grassland;unknown_geomem;NA;NA;0;0;0;0;1;NA;NA;NA;NA;spring;0;mowing;0;50;2;1;0.5;1;NA;heavyobj;NA;heavyobj;0;0;0;0;0;1;1;1;uprooting;1;0;0;0;0;1;0;0;0;0;0;0;0;0;none;0;1;0;5;good;none;01/08/2018;10;10;10;1
36;france;43.326;0.800;221;2017;3;eradicate_and_limit_dispersal;0;management_trial;0;2;5;0;3;2;3;2;2;8;roadside_riverside;woven_geotex;0;0;1;NA;0;0;1;130;NA;NA;NA;summer;1;mowing;0;1000;3;1;2;1;30;wired_stakes;100;wired_stakes;0;0;0;0;0;0;1;1;uprooting;1;1;0;0;0;1;1;0;0;0;0;0;0;0;NA;0;1;0;3;good;tarpedarea;01/09/2020;10;8;9;0
37;france;50.341;1.567;8;2009;NA;limit_expansion_and_limit_dispersal_and_vigour;0;management_trial;0;8;2;5;1;1;4;0;2;1;sand_dune;woven_geotex;0;0;1;NA;0;0;1;220;0.5;NA;NA;NA;0;none;0;100;2;1;1.5;1;50;backfill;50;heavyobj_and_backfill;1;0;0;0;1;0;1;1;uprooting;1;1;0;1;1;1;0;1;1;1;0;0;1;0;NA;0;1;0;1.5;destroyed;tarpedarea_edges;01/10/2020;3;7;8;0
38;france;48.462;7.482;184;2011;3;limit_expansion;1;management_trial;0;3;8;2;0;7;9;5;7;8;riverside;mixed;0;0;1;1;0;0;1;NA;NA;NA;NA;autumn;0;uprooting;1;50;2;0;0;1;NA;geotex_and_staples;100;geotex_and_trench_and_sedicover_and_plantations;1;5;1;20;8;2;1;1;crushingshoots_and_uprooting;1;0;1;0;0;1;0;0;0;1;1;0;0;0;NA;0;1;0;3;bad;tarpedarea_edges;NA;NA;NA;NA;0
39;belgium;49.683;5.817;415;2017;5;eradicate_and_limit_expansion;0;management_trial;0;2;7;1;3;0;1;5;2;0;roadside_urban_park;liner_geomem;1;0;0;0;0;0;0;NA;NA;NA;NA;winter;0;excavation;0;50;2;1;2;0;NA;NA;NA;sedicover;0;30;0;0;0;0;0;1;uprooting_and_mowing;0;0;0;0;0;1;0;0;0;0;0;0;1;0;NA;0;0;1;3;NA;edges;01/09/2020;8;8;9;0
40;france;46.041;3.852;602;2008;3;eradicate;1;management_trial;0;4;3;1;5;5;3;8;0;0;roadside_riverside;agri_geomem;0;1;0;0;0;0;0;NA;NA;NA;NA;spring;0;uprooting;0;10;2;1;2;1;15;refold;NA;trench_and_sedicover_and_plantations;1;20;1;50;2;2;0;1;mowing;1;0;1;1;0;1;0;0;0;0;0;0;0;1;NA;0;1;0;12;bad;nearby;01/07/2020;5;8;8;0
